1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
176	-0.771501	56.864286	1.641128	0.019907	0
177	-0.755149	57.861312	1.620380	0.044498	0
178	-0.758316	57.351232	1.630929	0.019254	0
179	-0.798039	58.350278	1.610395	0.009666	0
180	-0.763735	58.010365	1.617323	0.036084	0
181	-0.773995	58.493507	1.607493	0.026359	0
182	-0.773477	58.031200	1.616897	0.041285	0
183	-0.778482	59.031198	1.596693	0.030301	0
184	-0.748160	60.018684	1.577232	0.013791	16
185	-0.784306	60.685824	1.564351	0.030586	0
186	-0.765980	60.454672	1.568790	0.021721	0
187	-0.784174	61.430894	1.550211	0.014420	0
188	-0.769875	61.066808	1.557088	0.047481	0
189	-0.787116	62.059684	1.538475	0.021597	0
190	-0.790012	61.632615	1.546427	0.035243	15
191	-0.764657	62.278668	1.534430	0.028650	0
192	-0.741912	61.768575	1.543886	0.010390	0
193	-0.786459	61.943152	1.540637	0.026518	0
194	-0.780633	61.734340	1.544525	0.041683	0
195	-0.758350	62.734118	1.526084	0.025068	0
196	-0.758957	63.734117	1.508074	0.029904	0
197	-0.758342	64.730762	1.490542	0.068608	0
198	-0.752891	65.730762	1.473356	0.029259	0
199	-0.773669	66.730762	1.456562	0.024188	0
200	-0.787646	66.418064	1.461772	0.047917	0
201	-0.790988	65.908085	1.470350	0.028266	32
202	-0.747718	66.908085	1.453624	0.017434	0
203	-0.758493	66.406719	1.461962	0.010388	0
204	-0.736147	66.075945	1.467515	0.012661	0
205	-0.778876	65.674352	1.474315	0.016882	0
206	-0.775904	65.212613	1.482211	0.047555	0
207	-0.776253	66.212588	1.465216	0.025351	15
208	-0.761434	67.212397	1.448609	0.068091	0
209	-0.756572	68.212397	1.432371	0.017863	0
210	-0.753460	69.212397	1.416494	0.035941	0
211	-0.773516	68.900573	1.421407	0.030540	0
212	-0.754934	69.300074	1.415118	0.031771	0
213	-0.747070	70.300068	1.399619	0.016573	0
214	-0.797279	69.801201	1.407308	0.035037	0
215	-0.772171	70.452413	1.397287	0.037832	0
216	-0.767606	69.942360	1.405124	0.048023	0
217	-0.768391	69.432267	1.413050	0.011129	0
218	-0.774158	70.418421	1.397807	0.026394	0
219	-0.770828	69.929550	1.405322	0.015434	0
220	-0.776609	69.892810	1.405890	0.037868	0
221	-0.748150	70.807622	1.391881	0.018620	0
222	-0.764421	70.413578	1.397881	0.027852	0
223	-0.750508	71.240929	1.385343	0.033615	0
224	-0.776295	72.236813	1.370545	0.034521	0
225	-0.769530	71.726738	1.378085	0.012408	0
226	-0.775054	72.612000	1.365052	0.036884	0
227	-0.769825	73.116936	1.357729	0.015207	0
228	-0.773769	72.609213	1.365093	0.034392	0
229	-0.769121	72.099584	1.372566	0.049611	0
230	-0.779554	73.099577	1.357979	0.014783	16
231	-0.801528	73.900463	1.346519	0.037317	0
232	-0.776880	73.398765	1.353675	0.012883	0
233	-0.776176	73.077497	1.358298	0.025692	0
234	-0.778835	73.915284	1.346309	0.022016	0
235	-0.778716	74.793859	1.333961	0.024771	0
236	-0.768210	75.792055	1.320204	0.032107	1
237	-0.779861	75.320256	1.326671	0.021058	0
238	-0.765960	75.947654	1.318085	0.011538	0
239	-0.748659	76.575062	1.309610	0.008602	0
240	-0.750107	76.774376	1.306940	0.011961	0
241	-0.789817	77.257818	1.300510	0.035981	0
242	-0.758607	77.020458	1.303659	0.031092	31
243	-0.778472	78.018322	1.290522	0.026439	0
244	-0.781340	78.599533	1.282991	0.016680	0
245	-0.759881	78.118120	1.289222	0.004354	0
246	-0.796525	77.899304	1.292075	0.038165	0
247	-0.743539	77.466905	1.297749	0.051372	0
248	-0.793578	76.956813	1.304506	0.021487	15
249	-0.774033	76.447243	1.311328	0.040930	0
