1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
172	-0.417278	56.286615	37.013746	0.004294	2
173	-0.401999	56.139416	37.084376	0.001639	1
174	-0.396758	55.992217	37.155277	0.003446	2
175	-0.388486	56.992216	36.678880	0.005016	1
176	-0.365174	57.992216	36.214545	0.001968	1
177	-0.396225	57.845410	36.281975	0.001729	1
178	-0.399551	58.843601	35.828383	0.002757	2
179	-0.386627	58.696554	35.894490	0.002968	1
180	-0.393358	59.696554	35.449682	0.003029	2
181	-0.403887	59.549355	35.514464	0.001854	1
182	-0.377494	60.547763	35.079652	0.002260	1
183	-0.388389	60.400564	35.143087	0.003002	2
184	-0.410024	61.400525	34.716613	0.001854	1
185	-0.402127	61.253353	34.778730	0.002290	1
186	-0.401168	61.119312	34.835498	0.002281	1
187	-0.393251	62.010416	34.461544	0.002241	1
188	-0.359684	63.010406	34.051343	0.002191	2
189	-0.412963	64.010288	33.650835	0.004618	1
190	-0.378712	63.863089	33.709203	0.002564	1
191	-0.382315	64.863089	33.316611	0.002238	2
192	-0.390771	65.863089	32.933058	0.002076	1
193	-0.406863	66.863020	32.558261	0.004098	2
194	-0.400117	67.860562	32.192765	0.001095	1
195	-0.381377	68.860562	31.834512	0.002876	1
196	-0.393281	69.860462	31.484180	0.003749	2
197	-0.401091	70.860462	31.141441	0.002853	1
198	-0.408796	70.713263	31.191423	0.003231	2
199	-0.382796	71.713262	30.854994	0.002343	2
200	-0.379722	72.713262	30.525745	0.001062	1
201	-0.404465	73.712982	30.203538	0.005638	2
202	-0.401804	74.712973	29.887977	0.002345	1
203	-0.401255	74.565774	29.934013	0.002293	1
204	-0.371427	75.565772	29.624028	0.004808	2
205	-0.404250	75.418573	29.669254	0.004077	1
206	-0.406482	76.418573	29.364700	0.002177	1
207	-0.413189	77.418573	29.066334	0.002141	1
208	-0.390473	77.271374	29.109872	0.003516	1
209	-0.401018	77.129908	29.151838	0.003419	2
210	-0.420277	78.129908	28.857761	0.003962	1
211	-0.402560	77.982709	28.900676	0.003347	1
212	-0.403873	78.982709	28.611619	0.003573	2
213	-0.384234	79.960840	28.334423	0.002507	1
214	-0.417969	80.960840	28.056528	0.002868	2
215	-0.390653	81.960840	27.784031	0.001833	1
216	-0.391114	81.813641	27.823809	0.001714	1
217	-0.410282	82.802686	27.558701	0.002399	2
218	-0.407042	82.656673	27.597520	0.004140	1
219	-0.410750	83.656673	27.333825	0.003536	2
220	-0.385499	84.656673	27.075121	0.002431	1
221	-0.411823	84.509476	27.112893	0.002855	1
222	-0.365786	84.458358	27.126035	0.001962	1
223	-0.402281	84.311159	27.163951	0.002560	1
224	-0.383219	84.177931	27.198359	0.002233	2
225	-0.396473	84.030732	27.236477	0.003279	2
226	-0.386619	83.883533	27.274702	0.002670	2
227	-0.394605	83.736334	27.313035	0.001108	2
228	-0.393336	83.589138	27.351475	0.003426	1
229	-0.384327	84.589137	27.092438	0.004132	2
230	-0.412206	85.589137	26.838262	0.003170	1
231	-0.410162	85.441938	26.875376	0.002968	1
232	-0.386785	85.294739	26.912594	0.001237	1
233	-0.408034	85.147607	26.949898	0.004214	1
234	-0.394757	86.147402	26.698428	0.003597	2
235	-0.397671	87.147402	26.451557	0.003478	1
236	-0.379474	87.000203	26.487609	0.001752	1
237	-0.414227	88.000200	26.244605	0.001774	2
238	-0.413822	87.987885	26.247570	0.002269	1
239	-0.403297	88.987851	26.008937	0.004018	2
